title,year,certificate,duration,genre,rating,votes
Chip 'n Dale: Rescue Rangers,(2022),PG,97 min,"Animation, Adventure, Comedy",7.0,"37,904"
Wedding Season,(2022),TV-PG,98 min,"Comedy, Romance",6.300000190734863,"6,947"
Black Sails,(2014–2017),TV-MA,56 min,"Action, Adventure, Drama",8.199999809265137,"104,342"
Knock Knock,(I) (2015),R,99 min,"Drama, Thriller",4.900000095367432,"94,594"
Elementary,(2012–2019),TV-14,60 min,"Crime, Drama, Mystery",7.900000095367432,"110,920"
13 Reasons Why,(2017–2020),TV-MA,60 min,"Drama, Mystery, Thriller",7.5,"289,319"
Maid,(2021),TV-MA,545 min,Drama,8.399999618530273,"81,102"
The King,(I) (2019),R,140 min,"Biography, Drama, History",7.300000190734863,"127,673"
The Adam Project,(2022),PG-13,106 min,"Action, Adventure, Comedy",6.699999809265137,"193,255"
Top Boy,(2011– ),TV-MA,60 min,"Crime, Drama, Thriller",8.399999618530273,"25,235"
Emily in Paris,(2020– ),TV-MA,30 min,"Comedy, Drama, Romance",6.900000095367432,"88,868"
Grease,(1978),PG,110 min,"Comedy, Musical, Romance",7.199999809265137,"275,313"
Sicario,(2015),R,121 min,"Action, Crime, Drama",7.599999904632568,"425,967"
The Devil All the Time,(2020),R,138 min,"Crime, Drama, Thriller",7.099999904632568,"133,166"
Little Women,(2022– ),TV-14,,"Action, Drama, Mystery",8.600000381469727,469
Blackout,(XLI),,,Drama,,
The Fall,(I) (2013–2016),TV-MA,60 min,"Crime, Drama, Thriller",8.100000381469727,"104,577"
Elite,(2018– ),TV-MA,60 min,"Crime, Drama, Thriller",7.400000095367432,"77,113"
Legally Blonde,(2001),PG-13,96 min,"Comedy, Romance",6.400000095367432,"216,974"
2001: A Space Odyssey,(1968),G,149 min,"Adventure, Sci-Fi",8.300000190734863,"662,697"
The Little Things,(2021),R,128 min,"Crime, Drama, Mystery",6.300000190734863,"99,050"
The Guilty,(2021),R,90 min,"Crime, Drama, Thriller",6.300000190734863,"121,907"
Naruto,(2002–2007),TV-PG,24 min,"Animation, Action, Adventure",8.399999618530273,"99,442"
Broadchurch,(2013–2017),TV-MA,48 min,"Crime, Drama, Mystery",8.399999618530273,"112,247"
Scorpion,(2014–2018),TV-14,43 min,"Action, Crime, Drama",7.0,"53,803"
Spirited Away,(2001),PG,125 min,"Animation, Adventure, Family",8.600000381469727,"751,180"
Adventure Time,(2010–2018),TV-PG,11 min,"Animation, Action, Adventure",8.600000381469727,"93,949"
Dead to Me,(2019–2022),TV-MA,30 min,"Comedy, Crime, Drama",8.0,"76,565"
The Nice Guys,(2016),R,116 min,"Action, Comedy, Crime",7.300000190734863,"324,865"
Designated Survivor,(2016–2019),TV-14,60 min,"Action, Drama, Mystery",7.5,"90,424"
Dracula,(2020),TV-14,270 min,"Action, Drama, Fantasy",6.800000190734863,"47,794"
Narcos: Mexico,(2018–2021),TV-MA,50 min,"Crime, Drama",8.399999618530273,"83,199"
300,(2006),R,117 min,"Action, Drama",7.599999904632568,"815,351"
That's Amor,(2022),TV-14,96 min,"Comedy, Romance",5.199999809265137,"2,055"
Resident Evil,(2022),TV-MA,60 min,"Action, Horror, Sci-Fi",4.0,"39,033"
Ginny & Georgia,(2021– ),TV-14,,"Comedy, Drama",7.400000095367432,"48,057"
Grace and Frankie,(2015–2022),TV-MA,30 min,Comedy,8.199999809265137,"51,896"
The Man from Toronto,(2022),PG-13,110 min,"Action, Adventure, Comedy",5.800000190734863,"43,867"
Snowpiercer,(2020–2023),TV-MA,60 min,"Action, Drama, Sci-Fi",6.900000095367432,"54,342"
The Killing,(2011–2014),TV-14,45 min,"Crime, Drama, Mystery",8.300000190734863,"111,425"
The Power of the Dog,(2021),R,126 min,"Drama, Romance, Western",6.800000190734863,"169,764"
Baby Driver,(2017),R,113 min,"Action, Crime, Drama",7.599999904632568,"528,768"
The Haunting of Bly Manor,(2020),TV-MA,494 min,"Drama, Horror, Mystery",7.300000190734863,"101,853"
My Hero Academia,(2016– ),TV-14,24 min,"Animation, Action, Adventure",8.399999618530273,"60,041"
Arrival,(II) (2016),PG-13,116 min,"Drama, Mystery, Sci-Fi",7.900000095367432,"684,855"
Dead Poets Society,(1989),PG,128 min,"Comedy, Drama",8.100000381469727,"484,465"
The House,(III) (2022),TV-MA,97 min,"Animation, Comedy, Drama",6.800000190734863,"15,290"
Skins,(2007–2013),TV-MA,46 min,Drama,8.199999809265137,"83,918"
Bardo,(2022),R,174 min,"Comedy, Drama",6.699999809265137,218
Wendell & Wild,(2022),PG-13,105 min,"Animation, Adventure, Comedy",7.5,94
The Woman in the House,(2022),TV-MA,208 min,"Comedy, Crime, Drama",6.400000095367432,"44,195"
Kill Bill: Vol. 1,(2003),R,111 min,"Action, Crime, Drama",8.199999809265137,"1,103,348"
Behind Her Eyes,(2021),TV-MA,298 min,"Drama, Mystery, Thriller",7.199999809265137,"60,901"
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",8.199999809265137,"53,769"
Uncut Gems,(2019),R,135 min,"Crime, Drama, Thriller",7.400000095367432,"277,507"
Annihilation,(I) (2018),R,115 min,"Adventure, Drama, Horror",6.800000190734863,"323,342"
The Mummy,(2017),PG-13,110 min,"Action, Adventure, Fantasy",5.400000095367432,"189,542"
Orphan Black,(2013–2017),TV-MA,44 min,"Drama, Sci-Fi, Thriller",8.300000190734863,"110,756"
Altered Carbon,(2018–2020),TV-MA,60 min,"Action, Drama, Sci-Fi",7.900000095367432,"167,469"
Supergirl,(2015–2021),TV-PG,43 min,"Action, Adventure, Drama",6.199999809265137,"123,705"
Zero Dark Thirty,(2012),R,157 min,"Drama, History, Thriller",7.400000095367432,"299,829"
